Income,Age,Gender,Education,Wealth,Consumption
93172,78,2,1,0,355716.007
226435,52,2,3,0,64252.26
29388,44,1,3,0,42545.193
23601,55,1,9,0,29164.109
49723,49,1,2,0,38113.352
0,30,1,9,23000,162984.28
65018,34,1,9,0,68165.096
21398,60,1,3,0,58449.25
0,50,1,3,0,55098.117
107447,50,1,9,0,75913.35
16269,56,1,2,0,58738.292
2755,25,1,9,0,42708.217
51060,60,2,3,0,32041.686
74349,25,2,3,0,60597.925
55998,66,1,11,0,63861.47
9551,54,2,3,0,77419.957
73928,32,1,8,0,76772.199
57030,70,1,9,25000,105705.664
0,46,2,9,0,34363.4975
46234,56,2,2,0,49500.279
0,84,2,3,0,13368.0947
44539,43,1,2,0,53346.498
123977,59,1,3,0,55656.153
37646,42,1,9,0,44202.751
72091,70,1,9,0,24295.892
66350,50,1,8,0,61023.373
82331,71,1,2,0,81146.34
27826,54,2,9,0,67479.576
93831,69,2,2,0,40106.359
153404,53,2,9,0,60720.811
64938,33,2,3,0,37297.095
55560,45,2,3,0,50357.231
161537,36,1,3,12000,63126.207
0,74,1,0,0,15757.036
0,38,1,2,0,51313.542
50050,48,1,9,0,60084.707
52702,60,1,9,0,67278.438
0,74,2,9,0,42086.486
43619,66,1,3,0,43689.649
33324,45,1,1,0,35202.329
73286,58,2,2,0,74605.77
37987,55,1,2,0,58394.47
9575,62,1,3,0,53514.858
75529,55,1,2,0,26957.329
0,41,2,3,0,41362.9403
0,70,1,2,0,12911.19
0,46,2,2,0,51209.89
100775,48,1,10,0,35234.652
42996,42,1,2,0,61740.851
18078,48,2,8,0,26927.129
20677,50,2,0,0,21432.384
0,73,1,0,0,12036.9573
0,80,2,0,0,5645.8403
9041,41,1,2,0,23211.85
27569,69,1,1,0,43433.321
11708,46,2,2,0,41511.027
12712,38,1,2,0,20538.915
41768,70,1,0,0,19884.245
21640,48,2,2,0,55110.623
24681,41,1,1,0,34032.004
195412,42,1,3,0,45431.547
0,35,1,1,0,20262.825
28172,35,1,3,13500,37042.534
14528,30,1,1,0,30988.599
0,56,1,0,0,10918.2646
0,54,1,3,0,19144.444
9928,66,2,0,0,21325.2974
23538,56,2,0,0,49324.931
0,53,1,2,0,29579.087
0,73,1,2,0,8746.434
0,45,1,2,0,29109.679
16111,45,2,2,0,69793.273
6437,40,1,1,3000,21661.965
0,45,2,2,0,14781.9927
0,52,1,2,0,48744.851
31285,60,1,2,0,31165.479
14858,52,1,2,0,31118.184
4367,40,1,1,0,27079.724
10381,67,2,0,0,28706.856
247,58,1,9,0,62008.016
31467,42,1,3,0,45800.971
14528,49,2,9,0,67510.463
14594,49,1,3,0,55875.666
22543,43,1,2,0,42208.803
26894,48,1,3,0,27791.279
0,49,1,2,0,48350.906
23084,43,1,2,0,35116.307
11655,48,1,2,0,42927.525
38664,35,1,1,0,29449.493
0,49,2,2,0,26599.847
0,55,2,3,0,47140.092
33666,64,2,2,30000,70103.237
4920,49,1,2,0,38239.816
0,78,1,1,0,8361.3005
6590,54,2,0,0,27455.345
60064,37,2,2,0,17258.894
19832,47,1,2,0,23914.785
0,29,2,2,12000,31818.883
0,58,2,1,0,24891.356
16981,53,2,2,0,31831.61
15254,52,1,2,0,73312.123
0,58,1,2,0,10137.0878
8749,57,1,3,0,34046.26
0,48,1,2,15000,30612.046
0,46,1,2,0,9575.1694
0,24,1,1,0,11590.8111
27320,66,1,1,0,17201.634
7539,52,1,2,0,24709.987
0,73,1,2,0,6569.7082
0,79,2,0,2000,4106.0075
0,38,1,1,0,25277.056
0,37,1,2,0,23592.126
0,38,1,1,0,25264.253
33018,53,1,2,0,21129.295
12771,41,1,2,0,31722.355
32874,38,1,3,0,35502.54
22988,37,1,1,0,12078.75
0,39,1,1,0,36446.028
0,32,1,0,0,22272.471
17856,38,2,1,0,20081.531
2758,55,1,1,0,39750.894
6728,37,1,1,0,38318.615
16229,38,1,2,0,36170.081
21513,58,1,2,0,51533.847
24687,33,1,1,0,14642.6841
54300,48,1,2,0,28127.487
21109,45,1,2,0,19482.9516
0,45,1,2,15000,53210.01
8899,50,1,2,0,33529.209
12368,69,1,0,0,20546.75
0,53,1,2,0,22142.086
0,48,1,9,0,36068.043
29415,45,1,2,0,33598.858
26763,72,1,0,0,9613.7823
15211,49,1,1,0,21195.219
29735,42,1,2,0,35026.093
41257,53,1,2,0,18282.399
21049,36,2,2,0,23475.9
12547,37,2,9,0,44115.852
0,52,1,3,0,32381.875
47092,49,1,2,0,20038.647
0,62,2,2,0,25746.843
32622,63,1,9,0,32071.6985
3838,49,2,2,0,58063.515
0,69,1,9,0,28431.791
9953,78,1,9,0,84385.909
93997,55,1,9,750000,122144.815
0,50,2,2,0,67275.795
18242,59,2,1,0,23986.9363
92069,68,2,1,0,20313.474
0,38,1,3,0,26811.974
5489,44,1,3,0,38741.397
0,40,1,2,0,21608.724
0,41,1,2,12000,23025.354
0,48,2,8,0,26368.995
0,52,1,0,0,7767.68393
32098,38,1,1,0,19012.15
35576,60,1,3,0,12286.6746
0,57,1,3,15000,20424.697
0,46,2,2,0,2129.0342
21256,60,2,3,0,9427.8982
20290,36,1,2,60000,20623.446
23237,37,1,2,0,21560.052
0,36,1,2,0,23646.967
17198,56,1,1,0,16760.6597
0,73,2,0,0,8342.2458
0,78,1,0,0,7567.4524
0,55,1,9,0,36788.271
32024,45,1,2,6500,24572.325
0,76,1,2,0,11544.5965
0,42,2,2,0,30746.125
2586,35,1,3,0,35843.509
0,57,2,9,0,61215.024
20224,68,1,3,0,57043.234
0,49,2,9,0,84450.805
94441,60,2,2,0,49050.598
3137,49,1,3,0,83200.415
25341,38,1,9,0,41708.127
81680,44,1,3,0,73514.774
34555,50,1,2,0,60669.436
77301,60,1,3,0,58980.297
40976,46,1,0,0,25087.528
29551,44,1,2,0,31875.7474
0,65,1,9,0,39088.953
43931,59,1,2,0,37745.591
13785,56,2,2,0,33478.832
122772,67,1,9,0,46770.489
0,81,1,3,0,30552.053
16757,77,1,1,0,25257.452
74255,55,2,0,0,16597.1123
25177,71,1,2,0,43655.496
33976,60,1,2,0,27086.875
0,38,1,2,0,38900.635
39045,73,1,3,0,31443.823
0,56,2,1,0,14545.2224
53998,53,1,2,0,26025.085
59777,57,1,3,0,24534.0114
9987,42,2,3,0,81847.099
30047,83,2,0,0,71169.331
0,50,2,2,0,99374.44
39785,57,2,3,0,29217.087
17912,49,2,2,0,40777.208
36651,41,1,3,0,48485.04
62323,54,1,1,18500,56036.63
24556,50,1,3,0,56700.565
30129,46,1,3,0,52070.631
7726,71,1,9,0,40647.645
10962,39,1,2,0,20196.2783
0,57,1,9,0,136092.254
16509,48,2,1,0,16802.088
21792,58,1,9,0,34838.156
11886,35,2,3,0,33135.341
0,42,2,3,0,23080.8075
0,36,2,3,0,40783.932
17111,52,1,2,0,31758.333
36408,45,2,2,0,24573.807
13000,41,1,3,0,28867.941
14831,49,2,2,0,12268.6264
0,47,2,2,0,31950.343
10785,43,1,1,0,28699.025
30691,38,1,0,0,20186.488
10505,70,2,1,0,45514.48
31863,48,1,3,17500,31577.422
18519,32,2,10,0,84137.412
27570,59,1,2,0,18061.6235
23678,51,1,1,0,47186.942
6438,37,1,2,0,80683.05
15884,56,2,1,0,35532.443
21433,34,1,2,0,26494.356
18226,50,1,2,0,15050.1824
26329,44,1,1,0,33231.107
12863,37,1,2,0,20581.723
10274,38,1,2,0,20272.275
0,48,1,0,0,50080.182
0,57,1,3,0,20158.955
0,57,1,3,0,63083.016
26400,51,2,2,0,29110.777
0,52,1,2,0,35566.522
0,53,2,2,30000,18729.1935
17856,68,1,1,0,14635.427
0,50,1,2,0,19666.812
0,35,1,2,0,30701.267
120696,60,1,3,0,28971.52
0,54,1,2,0,43543.19
17591,64,1,2,0,30989.936
26646,57,2,0,0,24397.259
0,71,1,0,0,15509.5603
32206,38,1,2,0,25567.623
0,59,2,3,0,21497.2035
0,50,1,1,0,12855.7167
0,39,1,3,0,24196.843
0,38,1,0,0,27019.824
17489,38,1,2,0,17682.1564
0,40,1,2,0,20972.143
0,50,1,2,0,40569.8564
0,33,1,1,0,16289.731
0,39,2,9,0,39892.363
0,50,1,9,0,87782.783
6860,38,1,3,0,20879.005
17749,35,1,3,0,20994.658
11594,49,1,3,0,41620.109
0,44,2,3,0,31456.443
0,55,2,2,0,76599.66
23671,60,1,3,0,91803.718
14686,54,2,9,0,133901.297
6309,59,1,2,0,102287.533
68659,50,2,1,0,61761.646
5102,27,1,0,0,26227.971
0,52,2,0,0,3266.3424
41159,68,1,2,0,25182.156
16715,41,2,0,0,31274.522
39633,63,2,0,0,54919.388
2899,80,1,11,0,110359.323
0,37,1,3,0,28570.574
14493,29,1,1,0,23821.94
0,42,1,2,0,36871.588
6956,27,1,2,0,17063.4033
50909,51,1,1,0,21821.4974
0,41,1,2,0,17773.089
205048,32,1,1,0,23533.573
48494,55,1,2,0,24590.9934
0,38,1,1,0,34475.4325
18996,37,1,3,0,13034.168
0,37,1,3,0,19254.144
0,90,1,1,0,5639.3507
0,35,1,2,0,17715.075
0,62,2,2,0,12742.7754
30435,73,2,0,0,22842.202
6184,50,1,2,0,28383.852
0,76,2,1,0,25016.781
0,40,1,3,0,32985.986
0,46,1,3,0,25661.974
1160,44,1,2,0,8799.4017
13759,57,1,2,0,29623.198
0,41,1,2,0,26479.002
21256,57,1,2,0,23758.15
2620,43,1,1,0,27782.575
6184,58,1,2,0,33204.237
3549,43,1,2,0,37192.9415
0,46,2,2,0,51284.4834
40580,58,2,0,0,16826.536
34783,46,1,2,0,40726.131
16087,45,1,2,0,29678.6615
5797,45,1,2,0,33415.825
9566,84,2,0,0,13260.4586
11594,48,1,2,0,32806.387
17971,47,1,2,0,65951.937
16656,52,2,2,0,30027.149
0,38,1,2,0,88551.562
0,43,1,3,0,20573.986
13430,45,1,2,70000,44370.136
0,42,1,3,0,15424.7573
40213,52,1,3,0,103251.555
12464,52,1,3,0,36025.268
0,49,2,2,0,14650.547
0,56,1,1,0,31008.733
44736,48,1,2,0,21931.938
11073,49,1,2,0,37555.65
0,43,1,2,0,29030.783
16425,37,2,1,0,24212.742
0,33,1,1,0,17887.103
0,66,1,1,0,25948.243
0,33,1,1,0,17781.3944
28841,51,2,2,0,50549.292
13334,32,2,2,0,23076.36
30243,53,2,2,0,15950.752
32291,46,1,2,0,31330.187
0,47,1,8,0,42651.722
17295,45,1,2,0,25914.061
9276,41,1,2,0,22684.15
0,54,1,2,0,26393.74
9855,43,1,2,0,24399.212
35652,56,2,0,0,11511.9916
41894,52,2,0,0,16147.4086
63200,48,1,1,0,16328.0573
37921,44,1,2,0,11408.9225
10532,49,1,1,0,16518.5677
0,46,1,2,10000,13778.1333
119739,68,1,2,0,26002.623
93833,66,1,0,0,12894.166
23757,59,1,2,0,14602.3074
38841,52,1,2,0,31226.9673
47972,28,1,1,0,9506.9073
53363,53,1,3,0,29175.41
0,84,1,0,0,15115.719
25660,60,2,2,0,32575.03
0,73,1,2,0,9010.3576
0,54,2,2,0,16689.4313
0,44,1,3,0,35544.046
0,71,1,2,0,33519.15
8487,52,2,2,0,36673.619
0,47,1,2,0,30146.511
12309,64,1,1,0,10809.8185
117485,40,1,2,0,20245.147
117645,34,1,2,0,23476.508
0,40,1,2,0,28288.145
13912,48,2,2,0,18376.707
33139,35,2,2,0,30593.823
0,63,2,1,4000,12888.8306
0,42,1,2,0,30191.689
0,51,2,1,0,11032.7055
39427,40,1,2,0,31757.01
0,71,1,3,0,16023.098
0,82,1,0,0,2029.0236
25393,32,1,2,0,15646.602
37573,53,2,1,0,32384.905
44146,41,1,2,0,19880.178
0,75,1,0,0,24865.403
73208,52,1,2,0,21551.699
45682,61,1,1,0,11141.7153
23825,38,1,0,0,10999.762
12319,66,1,1,0,20611.834
9702,61,2,2,0,13042.653
8491,35,2,1,0,9855.9726
0,32,1,2,0,17092.4456
24134,45,1,3,0,28539.984
0,43,1,2,0,40837.572
4050,53,1,2,0,21447.7647
0,48,1,1,300000,47292.828
4817,52,1,2,0,41947.58
10378,57,2,2,0,26148.138
21342,83,1,3,0,22162.91
3751,56,1,2,0,14907.593
6682,78,2,0,0,8140.9822
11253,75,2,0,0,28795.499
5894,65,2,3,0,27723.835
7088,59,2,2,0,25027.58
6075,74,2,0,0,34864.11
12405,67,2,0,0,34587.714
0,50,1,3,0,67219.276
24210,53,1,3,0,90757.16
0,46,1,3,0,39620.118
36213,43,1,1,0,32652.389
7323,77,2,3,0,32810.832
0,82,2,0,0,92788.8
0,32,1,2,0,36356.99
11037,25,1,1,0,29588.852
8751,48,1,2,0,72061.532
12056,55,1,2,0,27777.244
29619,39,1,2,0,16255.053
3342,56,2,1,0,33753.282
8480,46,1,9,0,27183.046
13145,39,1,9,0,46591.754
16661,30,1,1,0,16053.828
0,69,1,0,0,9308.6269
24827,42,1,2,0,22796.015
34221,60,1,1,0,8265.7232
55911,55,1,1,0,20382.773
0,38,1,2,0,24167.123
21252,39,1,0,0,17000.7034
2331,55,1,0,0,12899.0567
25897,34,1,2,0,19508.166
20047,41,1,3,0,15999.3113
0,41,1,3,5200,22259.195
42602,56,1,2,35000,27508.472
30083,77,1,0,20000,25970.342
16206,60,1,1,0,15814.297
12952,53,2,2,0,17616.714
29904,60,1,2,0,25596.888
0,59,2,0,0,9073.1841
12844,46,1,1,0,28571.835
68355,75,1,1,8000,49235.762
0,66,2,1,0,24135.7525
22023,61,1,1,0,20796.15
23536,49,1,0,500,14371.8936
0,42,1,2,0,25667.756
38340,30,1,2,0,11903.6811
34725,50,1,2,0,23067.515
0,57,2,2,7000,12095.5307
19558,57,1,2,20000,19286.828
0,55,1,0,0,11491.4348
0,66,1,1,10000,18414.345
16342,45,1,2,0,26231.797
8615,49,1,2,1700,24973.536
0,34,1,2,0,17997.8477
10053,42,1,2,0,33525.326
2953,50,1,2,0,41654.328
5880,50,1,3,0,24660.144
21968,34,1,2,0,19204.046
3759,66,1,3,0,17578.5526
0,32,1,2,0,16302.1333
3614,44,1,0,0,17341.1627
12234,37,1,2,0,5903.5556
12530,41,1,1,0,17930.764
18575,78,2,0,0,11478.2705
0,52,1,2,0,25004.178
14651,41,1,2,0,18726.323
0,53,1,1,0,29167.542
0,62,1,2,0,53766.817
0,40,1,2,0,34869.459
35084,46,1,2,25000,60565.599
0,40,1,2,0,37777.604
35695,52,1,1,0,38407.442
39384,51,1,2,0,53712.715
41955,36,1,3,0,25825.939
27984,41,1,3,0,45930.034
22978,45,1,9,0,43293.012
0,61,1,9,0,40400.11
8100,60,1,3,0,57145.207
17558,57,1,9,0,58970.023
3131,76,2,3,0,33288.19
16876,38,1,0,0,21505.073
0,58,1,2,0,32685.515
19705,63,1,1,0,14128.7906
49406,73,2,1,0,11742.9017
0,70,2,2,0,10995.239
22440,35,1,1,0,21590.17
0,54,1,2,0,14906.3389
5057,51,2,1,0,35859.434
3403,41,1,3,0,38255.4
27118,36,1,2,0,13513.604
0,39,1,2,0,32384.429
191713,58,1,2,0,24395.97
2162,56,1,1,0,14797.831
19254,53,1,2,0,29450.22
9533,47,1,3,0,36970.983
30436,36,1,3,0,196559.13
0,68,2,1,0,26456.787
12041,42,1,2,0,16933.4547
29112,69,1,1,0,62391.928
0,56,1,2,0,10985.4284
0,65,1,2,0,15226.393
34393,36,1,2,0,17135.6664
16766,37,1,1,0,26329.18
22705,36,1,1,0,13874.434
66100,66,1,2,0,53177.709
10899,45,1,2,0,32738.409
18019,47,1,3,0,21225.4727
1411,67,1,0,0,7961.575
0,43,1,3,0,22452.1183
0,26,1,3,0,23755.15
13271,50,1,1,0,23326.634
14519,42,1,1,0,22170.645
22524,55,1,1,0,5742.009
15916,52,1,12,0,93255.676
27316,35,1,3,0,20815.036
64700,33,1,2,0,12490.7939
0,85,2,0,0,2389.9019
16348,58,2,1,0,26067.193
10899,40,1,2,0,39622.01
11936,73,1,3,0,8724.7973
13451,43,1,2,0,11159.9547
0,60,1,2,0,15723.944
0,80,2,0,10000,68576.541
2535,39,2,0,0,15677.3853
12443,48,1,3,10000,38861.139
9899,52,1,1,0,13959.5874
11912,50,1,2,6000,20156.4414
24954,38,1,2,0,17773.151
